1;Ваш друг находится в затруднительном положении:;Вы стараетесь избегать встреч с ним и не вмешиваетесь;0;Немедленно приходите к нему на помощь;2;Обращаетесь за помощью к свои друзьям;1
2;Если требуется заключить какой-либо договор, то вы;Верите на слово;2;Для большей верности делаете это в письменном виде;1;Берете на себя необременительные обязательства, от которых можно будет легко отказаться при удобном случае;0
3;Когда возникают трудности:;Лишаетесь уверенности в себе и отказываетесь от задуманного;0;Выжидаете какое-то время в надежде, что все образуется;1;Трудности порождают у вас желание преодолеть их;2
4;Если вам неожиданно задают неприятный вопрос:;Отвечаете, прибегая к первому аргументу, который придет на ум;0;Долго раздумываете и только тогда отвечаете;1;Отвечаете сразу и обычно верно;2
5;Если вам нужно выступать перед аудиторией:;это вас смущает и вы теряетесь;0;это доставляет вам даже некоторое удовольствие;2
6;Если во время спора вы замечаете, что ошиблись:;Тут же исправляете ошибку;2;Хотя вы знаете, что допустили ошибку, продолжаете придерживаться своего мнения;0;Перестаете спорить;1;
7;По вашему мнению, отстоять правду - это:;Весьма непросто и все зависит от случая;1;Приводит в состояние крайнего нервного возбуждения;0;Важно и необходимо;2
8;Когда вы спорите с другом, который придерживается иного мнения, то:;Обычно вам удается переубедить его;2;Вы остаетесь при своем мнении;1;Ему удается полностью переубедить вас или вы хотя бы частично меняете свое мнение;0
9;Когда спор принимает ожесточенный характер:;Злитесь;0;Остаетесь спокойным - это лучший способ быть убедительным в споре;2;Повышаете тон;1
10;Адреса и телефоны, которые вам часто бывают нужны, вы:;Не записываете, так как легко можете их найти;0;Заносите в записную книжку;2;Запоминаете их;1
11;Вы познакомились с кем-то, и встретившись еще раз:;Узнаете его сразу;2;Не можете вспомнить его имени;0;Думаете, что где-то с ним встречались, но не можете точно вспомнить где и когда;1;
12;После очень оживленной дискуссии:;Отлично помните все аргументы своего оппонента;2;Считаете, что к лучшему то, что вы их забыли;1;Не можете вспомнить самое важное;0
13;Обычно, вступая в спор:;Хотите получить какую-то выгоду из того, кого защищаете;0;Вызвать таким образом восхищение окружающих;0;Защитить тех, кто в этом нуждается;2
14;Если один из ваших друзей в чем-то заблуждается:;Вы открыто высказываетесь против;2;Поддерживаете его, хорошо зная, что он заблуждается;1;Воздерживаетесь от разговора на эту тему;0
0;Вы избегаете ситуаций, в которых необходимо разрешить чей-то спор (каким бы, в сущности, он ни был). Искусство дипломатии и разрешения конфликтов видимо знакомо Вам. Однако не всегда самоустранение и излишняя надежда на то, что "время все решит" поможет грамотно выйти из создавшейся ситуации. Ваше предприятие нередко заканчивается неудачей в основном из-за некоторой нерешительности. Действуйте и надейтесь - у всех бывают ошибки и удачи. Но для этого что-то надо делать.;0;14;Вы редко миритесь с безобразиями и довольно часто берете на себя роль защитника ложно обвиненного человека или поспешно отвергнутой идеи. Но ваши усилия не всегда увенчиваются успехом - обратите внимание на четкость аргументации. Вы на правильном пути, ведь в этом мире так много несправедливости и ради борьбы с ней вы можете прибегнуть к чьей-то помощи.;14